No.	Atomic Weight	Name	Sym.	M.P.(°C)	 B.P.(°C)	Density(g/cm3)	Earth crust (%)	Discovery(Year)	Group	Electron configuration	Ionization energy (eV)
1		1.0079	Hydrogen	H	-259.0	-253.0	0.09	0.14	1776	1	1s1	13.5984
2		4.0026	Helium	He	-272.0	-269.0	0.18		1895	18	1s2	24.5874
3		6.941	Lithium	Li	180.0	1,347.00	0.53		1817	1	[He] 2s1	5.3917
4		9.0122	Beryllium	Be	1,278.00	2,970.00	1.85		1797	2	[He] 2s2	9.3227
5		10.811	Boron	B	2,300.00	2,550.00	2.34		1808	13	[He] 2s2 2p1	8.298
6		12.0107	Carbon	C	3,500.00	4,827.00	2.26	0.09	ancient	14	[He] 2s2 2p2	11.2603
7		14.0067	Nitrogen	N	-210.0	-196.0	1.25		1772	15	[He] 2s2 2p3	14.5341
8		15.9994	Oxygen	O	-218.0	-183.0	1.43	46.71	1774	16	[He] 2s2 2p4	13.6181
9		18.9984	Fluorine	F	-220.0	-188.0	1.7	0.03	1886	17	[He] 2s2 2p5	17.4228
10		20.1797	Neon	Ne	-249.0	-246.0	0.9		1898	18	[He] 2s2 2p6	21.5645
11		22.9897	Sodium	Na	98.0	883.0	0.97	2.75	1807	1	[Ne] 3s1	5.1391
12		24.305	Magnesium	Mg	639.0	1,090.00	1.74	2.08	1755	2	[Ne] 3s2	7.6462
13		26.9815	Aluminum	Al	660.0	2,467.00	2.7	8.07	1825	13	[Ne] 3s2 3p1	5.9858
14		28.0855	Silicon	Si	1,410.00	2,355.00	2.33	27.69	1824	14	[Ne] 3s2 3p2	8.1517
15		30.9738	Phosphorus	P	44.0	280.0	1.82	0.13	1669	15	[Ne] 3s2 3p3	10.4867
16		32.065	Sulfur	S	113.0	445.0	2.07	0.05	ancient	16	[Ne] 3s2 3p4	10.36
17		35.453	Chlorine	Cl	-101.0	-35.0	3.21	0.05	1774	17	[Ne] 3s2 3p5	12.9676
18		39.948	Argon	Ar	-189.0	-186.0	1.78		1894	18	[Ne] 3s2 3p6	15.7596
19		39.0983	Potassium	K	64.0	774.0	0.86	2.58	1807	1	[Ar] 4s1	4.3407
20		40.078	Calcium	Ca	839.0	1,484.00	1.55	3.65	1808	2	[Ar] 4s2	6.1132
21		44.9559	Scandium	Sc	1,539.00	2,832.00	2.99		1879	3	[Ar] 3d1 4s2	6.5615
22		47.867	Titanium	Ti	1,660.00	3,287.00	4.54	0.62	1791	4	[Ar] 3d2 4s2	6.8281
23		50.9415	Vanadium	V	1,890.00	3,380.00	6.11		1830	5	[Ar] 3d3 4s2	6.7462
24		51.9961	Chromium	Cr	1,857.00	2,672.00	7.19	0.04	1797	6	[Ar] 3d5 4s1	6.7665
25		54.938	Manganese	Mn	1,245.00	1,962.00	7.43	0.09	1774	7	[Ar] 3d5 4s2	7.434
26		55.845	Iron	Fe	1,535.00	2,750.00	7.87	5.05	ancient	8	[Ar] 3d6 4s2	7.9024
27		58.9332	Cobalt	Co	1,495.00	2,870.00	8.9		1735	9	[Ar] 3d7 4s2	7.881
28		58.6934	Nickel	Ni	1,453.00	2,732.00	8.9	0.02	1751	10	[Ar] 3d8 4s2	7.6398
29		63.546	Copper	Cu	1,083.00	2,567.00	8.96		ancient	11	[Ar] 3d10 4s1	7.7264
30		65.39	Zinc	Zn	420.0	907.0	7.13		ancient	12	[Ar] 3d10 4s2	9.3942
31		69.723	Gallium	Ga	30.0	2,403.00	5.91		1875	13	[Ar] 3d10 4s2 4p1	5.9993
32		72.64	Germanium	Ge	937.0	2,830.00	5.32		1886	14	[Ar] 3d10 4s2 4p2	7.8994
33		74.9216	Arsenic	As	81.0	613.0	5.72		ancient	15	[Ar] 3d10 4s2 4p3	9.7886
34		78.96	Selenium	Se	217.0	685.0	4.79		1817	16	[Ar] 3d10 4s2 4p4	9.7524
35		79.904	Bromine	Br	-7.0	59.0	3.12		1826	17	[Ar] 3d10 4s2 4p5	11.8138
36		83.8	Krypton	Kr	-157.0	-153.0	3.75		1898	18	[Ar] 3d10 4s2 4p6	13.9996
37		85.4678	Rubidium	Rb	39.0	688.0	1.63		1861	1	[Kr] 5s1	4.1771
38		87.62	Strontium	Sr	769.0	1,384.00	2.54		1790	2	[Kr] 5s2	5.6949
39		88.9059	Yttrium	Y	1,523.00	3,337.00	4.47		1794	3	[Kr] 4d1 5s2	6.2173
40		91.224	Zirconium	Zr	1,852.00	4,377.00	6.51	0.03	1789	4	[Kr] 4d2 5s2	6.6339
41		92.9064	Niobium	Nb	2,468.00	4,927.00	8.57		1801	5	[Kr] 4d4 5s1	6.7589
42		95.94	Molybdenum	Mo	2,617.00	4,612.00	10.22		1781	6	[Kr] 4d5 5s1	7.0924
43	*	98.0	Technetium	Tc	2,200.00	4,877.00	11.5		1937	7	[Kr] 4d5 5s2	7.28
44		101.07	Ruthenium	Ru	2,250.00	3,900.00	12.37		1844	8	[Kr] 4d7 5s1	7.3605
45		102.9055	Rhodium	Rh	1,966.00	3,727.00	12.41		1803	9	[Kr] 4d8 5s1	7.4589
46		106.42	Palladium	Pd	1,552.00	2,927.00	12.02		1803	10	[Kr] 4d10	8.3369
47		107.8682	Silver	Ag	962.0	2,212.00	10.5		ancient	11	[Kr] 4d10 5s1	7.5762
48		112.411	Cadmium	Cd	321.0	765.0	8.65		1817	12	[Kr] 4d10 5s2	8.9938
49		114.818	Indium	In	157.0	2,000.00	7.31		1863	13	[Kr] 4d10 5s2 5p1	5.7864
50		118.71	Tin	Sn	232.0	2,270.00	7.31		ancient	14	[Kr] 4d10 5s2 5p2	7.3439
51		121.76	Antimony	Sb	630.0	1,750.00	6.68		ancient	15	[Kr] 4d10 5s2 5p3	8.6084
52		127.6	Tellurium	Te	449.0	990.0	6.24		1783	16	[Kr] 4d10 5s2 5p4	9.0096
53		126.9045	Iodine	I	114.0	184.0	4.93		1811	17	[Kr] 4d10 5s2 5p5	10.4513
54		131.293	Xenon	Xe	-112.0	-108.0	5.9		1898	18	[Kr] 4d10 5s2 5p6	12.1298
55		132.9055	Cesium	Cs	29.0	678.0	1.87		1860	1	[Xe] 6s1	3.8939
56		137.327	Barium	Ba	725.0	1,140.00	3.59	0.05	1808	2	[Xe] 6s2	5.2117
57		138.9055	Lanthanum	La	920.0	3,469.00	6.15		1839	3	[Xe] 5d1 6s2	5.5769
